title,shuffle_id,reason
" Ivanka Defends Malia Obama From Attacks, Her Dad’s Fans Won’t Stop: ‘She Looks Like A Baboon’",121,Nenhum resultado inserido
 AG Sessions Directs Disgusting Insult At Hawaii After Hawaiian Judge Blocks Trump’s Muslim Ban,198,Nenhum resultado inserido
VICIOUS BERNIE SANDERS Goes on Angry Anti-Christian Tirade Against Deputy Budget Nominee [Video],254,Nenhum resultado inserido
 NRA Releases Fascist Ad Calling All Trump Critics ‘Saboteurs’ Whose Future Is ‘Failure’ (VIDEO),424,Nenhum resultado inserido
 New York Times Reporter Tells Of Horribly Degrading Insults Trump Hurled At Her In Sexist Rage,458,Nenhum resultado inserido
"BRITISH ACTRESS NAILS IT: Do you think ISIS cares about “pathetic hashtags, prayers or candles”?…”Stop waiting to be SLAUGHTERED and DEMAND our leaders DO something!” [VIDEO]",631,Nenhum resultado inserido
"20 TIME DEPORTED MEXICAN Laughs While Being Sentenced For Sodomy, Kidnapping and Sexual Assault In SANCTUARY STATE of Oregon…Tells Victims’ Relatives: “See All You Guys In Hell!” [VIDEO]",720,Nenhum resultado inserido
Anti-Gun Hypocrites Bash David Beckham’s Son for Posing with a Gun in Photo Shoot,807,Nenhum resultado inserido
BILL CLINTON Appears Bewildered When COAL MINERS BOO Him In West VA: “Mrs. Clinton’s anti-coal messages are the last thing our suffering town needs at this point” [VIDEO],877,Nenhum resultado inserido
PATRIOT CALL TO ACTION: A Major Storm Is Brewing In Oregon Over Fed Gov Charging Rancher With Terrorism For Insane Reason,938,Nenhum resultado inserido
" Angry That Benghazi Panel Couldn’t Bury Hillary, Right-Wing Nuts Hilariously Turn On Trey Gowdy",1002,Nenhum resultado inserido
SHERIFF CLARKE Destroys Idiocy Of Gun Control In Democrat Ghetto Hell-Holes Like BLOOD-SOAKED CHICAGO,1101,Nenhum resultado inserido
"ALERT: #Cleveland, Ohio Lunatic Shooting Randomly…One Confirmed Dead [Video]",1130,Nenhum resultado inserido
LOL! “THE VIEW’S” CLASSY Co-Host JOY BEHAR Tells Van Jones: “You Don’t Deal With White Supremacists”…“When They Go Low…We Need To Go Lower”…”F**K Your Kumbaya” [VIDEO],1177,Nenhum resultado inserido
" Donald Trump Just Threw 60 YEARS Of Inaugural Tradition Out The Window, And Something’s Fishy",1281,Nenhum resultado inserido
BLACK BOSTON COP Taunted By Black Woman: “You stupid a** black bitch. You’re suppose to be on our side”,1289,Nenhum resultado inserido
Progressive Lunacy: PETA Claims Indonesian Monkey Owns ‘Selfie’ Copyright,1307,Nenhum resultado inserido
LOL! Lifetime Politician Who Got 2% Support From Voters In GOP Primaries Tells CBS: “I don’t know what ‘America First’ Means” [VIDEO],1379,Nenhum resultado inserido
PRO-TRUMP ROCKER #TedNugent Fires Back at Comparison to #KathyGriffin: “We’re talking apples and grenades”,1734,Nenhum resultado inserido
 Tennessee House Speaker Warns Interns To Stay Far Away From Sleazy Male Lawmakers,1821,Nenhum resultado inserido
 ‘Tehran’ Tom Cotton Throws Tantrum After White House Exposes Him As Clueless Obstructionist,1971,Nenhum resultado inserido
